name,version,ecosystem,vendor
redhat-logos,4.9.8,,
reportlab,2.2,PyPI,
rpm,4.4.2,,
rpm-libs,4.4.2,,
rpm-python,4.4.2,,
s3fs,1.74,,
samba-common,3.0.33,,
scrub,2.1,,
sed,4.1.5,,
setup,2.5.58,,
shadow-utils,4.0.17,,
smartmontools,6.4,,
snappy,1.0.1,,
sqlite,3.6.12,,
sysfsutils,2.0.0,,
syslinux,3.11,,
syslog-ng,3.2.5,,
tar,1.15.1,,
tcpdump,3.9.4,,
termcap,5.5,,
tftp,0.48,,
tftp-server,0.48,,
traceroute,2.0.1,,
util-linux,2.13,,
vim-minimal,7.0.109,,
vmware-netx,0.6,,
wget,1.16.2,,
xdelta,1.1.3,,
xdelta3,3.0t,,
xinetd,2.3.14,,
xmltooling-schemas,1.5.6,,
xz-libs,4.999.9,,
zlib,1.2.3,Debian,
krb5-,1.13.1,,
library,2.0,,
libxerces-,3.1.2,,
c-3_1,2.0,,
libxml-,1.7.3,,
security-c17,2.0,,
libxml2-,2.9.4,Debian,
libraries,2.0,,
module-init-,3.3,,
net-snmp,5.4.4,,
nss-softokn-,3.14.3,,
openldap-,2.4.23,,
opensaml-,2.5.5,,
schemas,2.0,,
openssh-,6.4p1,,
php,5.3.17,,
libraries,v3.01,,
python-,1.2.6,,
python-,1.1.5,,
python-,0.1.7,,
python-,3.1.0,,
python-,2.0.13,,
waagentlib,2.0,,
samba-,3.0.33,,
xe-guest-,6.1.0,,
xmltooling-,1.5.6,,
etcd3,0.12.0,,
inotify-tools,3.14,,
mariadb-connector-c-,3.1.11,,
python-collectd-,0.0.2,,
python3-monotonic,1.5,,
strongswan,5.9.3,,
tenacity,6.3.1,,
trousers,0.3.15,,
trousers-lib,0.3.15,,
acl,2.2.51,,
acpid,2.0.19,,
apr,1.4.8,,
apr-util,1.5.2,,
audit,2.4.1,,
basesystem,10,,
bind-libs,9.11.4,,
binutils,2.27,,
coreutils,8.22,,
cpio,2.11,,
diffutils,3.3,,
dpdk,19.11.14,,
elfutils-libelf,0.176,,
expat,2.1.0,,
fping,4,,
futures,3.1.1,crates.io,
gawk,4.0.2,,
gdb,7.12,,
glib2,2.56.1,,
glibc-common,2.17,Debian,
gmp,6.0.0,,
gnupg2,2.0.22,,
google-api-python-client,1.6.2,,
google-cloud-core,0.23.1,,
google-cloud-monitoring,0.23.1,,
googleapis-common-protos,1.5.2,,
grep,2.2,,
info,5.1,,
iproute,3.10.0,,
less,458,,
libattr,2.4.46,,
libcap,2.22,,
libibverbs1,23.1,,
libinotifytools0,3.14,,
liblog4shib1,1.0.9,,
libmlx4-1,23.1,,
libmlx5-1,23.1,,
libnl3,3.2.28,,
libtool-ltdl,2.4.2,,
libxmltooling7,1.6.4,,
libyaml,0.1.4,,
lua,5.3.2,,
lzo,2.06,,
m2crypto,0.30.1,,
mpfr,3.1.1,,
nfs-utils,1.3.0,,
nss,3.53.1,,
nss-sysinit,3.53.1,,
nss-util,3.53.1,,
numactl-libs,2.0.9,,
oauth2client,4.0.0,,
openldap,2.4.40,,
openssh,7.7p1,,
pam,1.1.8,,
pcre,8.32,,
php,5.6.25,,
php-cli,5.6.25,,
protobuf,3.2.0,Go,
pymongo,3.0.3,PyPI,
python,2.7.5,,
python-collectd-,0.0.1,,
python-enum34,1.1.6,,
python-etcd3,0.8.1,,
python-grpcio,1.14.2,,
python-httplib2,0.9.2,,
python-libs,2.7.5,,
python-monotonic,1.5,,
python-psutil,3.3.0,PyPI,
python-pycrypto,2.6.1,,
python-pycurl,7.43.0,,
python-pytz,2015.7,PyPI,
python-requests,2.13.0,PyPI,
python-setuptools,0.9.8,PyPI,
python-six,1.10.0,PyPI,
python-tenacity,4.12.0,,
python-xmltodict,0.9.0,,
python2-libxml2,2.9.7,,
python2-typing,3.6.2,,
python27-boto3,1.4.0,PyPI,
python27-botocore,1.4.42,PyPI,
python27-dateutil,2.5.3,,
python27-jmespath,0.9.0,PyPI,
readline,6.2,,
rpcbind,0.2.0,,
rpm,4.11.3,,
rpm-python,4.11.3,,
rsa,3.4.2,,
rsync,3.0.9,,
s3transfer,0.1.10,PyPI,
setup,2.8.71,,
shadow-utils,4.1.5.1,,
snappy,1.1.0,,
sqlite,3.7.17,,
strongswan,5.6.0,,
tar,1.26,,
wpaeapol,2.6,,
xmltooling-schemas,1.6.4,,
xz-libs,5.1.2,,
alpine-base,3.10.3,,
alpine-baselayout,3.1.2,,
alpine-keys,2.1,,
apk-tools,2.10.4,,
boto3,1.4.0,PyPI,
boto3,1.4.2,PyPI,
botocore,1.4.3,PyPI,
botocore,1.4.41,PyPI,
ca-certificates,20190108,,
cni,0.6.0,,
cni-plugins,0.7.4,,
cobra,0.0.5,Go,
dejavu-fonts-,2.33,,
enum34,1.1.6,,
etcd,v3.2.22,,
etcd3,0.8.1,,
google-api-python-,1.5.4,,
google-api-python-,1.6.2,,
google-auth,1.0.1,,
google-cloud-core,0.25.0,,
google-cloud-,1.5.2,,
google-cloud-,0.24.0,,
grpcio,1.17.1rc1,,
k3s,v1.17.4-,,
k8s,1.13.2,,
k8s-client-go,10.0.0,,
libcalico-go,1.7.3,,
libyang,0.16_p3,,
logrus,1.3.0,Go,
musl,1.1.22,,
netlink,1.0.0,,
node-ncurses,0.3.0,,
nss-softokn-freebl,3.33.0,,
otj-pg-embedded,0.11.2,,
py-boto3,1.9.75,PyPI,
python-dateutil,2.5.3,PyPI,
python2-pyyaml,3.12,PyPI,
s3transfer,0.1.3,PyPI,
syslog-ng,3.8.1,,
syslog-ng-python,3.8.1,,
tcp-wrappers,7.6,,
testing-postgresql-,0.4,,
trivy,0.1.7,,
urlgrabber,4.0.0,,
adal,1.2.6,,
crash,7.2.8,,
davici,1.3.0,,
elasticsearch,7.17.14,,
ipmitool,1.8.18,,
jre,1.8.0_201,,
kernel-dbinfo,4.18.0,,
librdkafka,0.11.4,,
msrest,0.6.21,,
msrestazure,0.6.4,,
nodejs,16.17.1,,
pacparser,1.3.7,,
python-azure-sdk,4.0.0,,
python3-certifi,2018.10.15,PyPI,
python3-isodate,0.6.0,,
python3-jwt,1.6.1,,
python3-kubernetes,11.0.0,,
python3-oauthlib,2.1.0,,
python3-websocket-client,0.56.0,,
requests-oauthlib,1.3.0,PyPI,
elasticsearch-oss,6.8.23,,
bind,9.11.4,,
bind-export-libs,9.11.4,,
bind-libs-lite,9.11.4,,
bind-license,9.11.4,,
bind-utils,9.11.4,,
crash,7.2.0,,
efivar,36,,
efivar-libs,36,,
elfutils-libs,0.176,,
freetype,2.4.11,,
gdisk,0.8.10,,
grub-cfg,10.1.14.1,,
ipmitool,1.8.13,,
kexec-tools,2.0.15,,
kubernetes,7.0.0,,
librdkafka1,0.9.1,,
mdadm,4.1rc.1.2,,
nodejs,0.6.18,,
php-pecl-mongodb,1.3.4,,
python-adal,1.0.2,,
python-azure-sdk,3.0.0,,
python-certifi-alt,2016.9.26,PyPI,
python-chardet-alt,3.0.4,,
python-enum,0.4.6,,
python-futures,3.2.0,,
python-idna-alt,2.5,PyPI,
python-isodate,0.5.4,,
python-jwt,1.6.1,,
python-msrest,0.4.29,,
python-msrestazure,0.4.34,,
python-oauthlib-alt,2.0.1,,
python-requests-oauthlib-alt,0.8.0,PyPI,
python-ssl_match_hostname,3.5.0.1,,
python-urllib3-alt,1.22,PyPI,
python-websocket-client-alt,0.47.0,,
python2-requests-alt,2.18.4,PyPI,
aggs-matrix-stats,5.6.7,,
azure-sdk-for-python,6.1.2.9,,
backports.ssl_match_hostname,3.5.0.1,,
beanvalidation-api,1.1.0.Final,,
binutils,2.24,,
bytes,0.1.0,,
bytes.js,0.2.1,,
chardet,3.0.4,,
chart,3.2.0,,
colors.js,0.6.0-1,,
connect,2.2.0,,
cookies,0.3.2,,
css-parse,1.0.4,,
cycle,1.0.1,,
debug,0.7.2,,
ejs,1.0.0,,
expressjs,3.2.5,,
external-objenesis,1.0.4,,
formidable,1.0.14,,
fresh,0.1.0,,
gradle-onejar,0.0.8,,
i18n-js,3.0.4,,
idna,2.5,PyPI,
ingest-common,5.6.7,,
isodate,0.5.4,,
jackson-annotations,2.9.5,Maven,
jackson-core,2.9.5,Maven,
jackson-databind,2.9.5,Maven,
jackson-dataformat-smile,2.8.6,,
jackson-dataformat-yaml,2.8.6,,
jackson-datatype-guava,2.9.5,Maven,
jackson-datatype-joda,2.9.5,,
java-classmate,1.2.0,,
jcodings,1.0.12,,
joni,2.1.6,,
js-bson,0.2.2,,
js-web-socket-js,1.0.2,,
lang-expression,5.6.7,,
lang-groovy,5.6.7,,
lang-mustache,5.6.7,,
lang-mustache-client,5.6.10,,
lang-painless,5.6.7,,
methods,0.0.1,,
mime,1.2.6,,
node-active-x-obfuscator,0.0.2,,
node-cookie,0.1.0,,
node-cookie-signature,1.0.1,,
node-gently,v0.9.2,,
nodejs-stack-trace,0.0.9,,
node-mkdirp,0.3.5,,
node-policyfile,0.0.5,,
node-stack-trace,0.0.6,,
nvidia-visual-profiler,9.1.85,,
oauthlib,2.0.1,,
parent-join,5.6.7,,
pause,0.0.1,,
percolator-client,5.6.7,,
pkginfo,0.2.3,,
policyfile,0.0.4,,
python2-adal,1.0.2,,
python2-jwt,1.6.1,,
python2-msrestazure,0.5.0,,
python2-requests,2.18.4,PyPI,
python2-urllib3,1.22,PyPI,
python2-websocket-client,0.47.0,,
python-backports.ssl-match-,3.4.0.2,,
python-certifi,2016.9.26,PyPI,
pythonfutures,3.2.0,,
python-urllib3,1.22,PyPI,
range-parser,0.0.4,,
redis-knack,v0.8.1,,
reindex-client,5.6.7,,
request,2.11.4,,
requests,2.18.4,PyPI,
requests-legacypython,2.18.4,PyPI,
requests-oauthlib,0.8.0,PyPI,
rest,5.6.7,,
send,0.2.0,,
socket.io-agilelaw,0.9.13,,
spf4j-zel,8.3.18,,
swagger-annotations,1.5.3,,
swagger-models,1.5.3,,
sysstat,v10.1.5,,
sysvinit,2.86,,
t-digest,3,,
tinycolor,0.0.1,,
transport-netty3-client,5.6.7,,
transport-netty4-client,5.6.7,,
underscore,1.4.3,,
urlgrabber,3.1,,
urllib3,1.22,PyPI,
websocket_client,1.0.0,,
winston,0.7.3,,
ws,0.4.22,,
zeparser,0.0.7,,
python-pyasn1-modules,0.0.5,PyPI,
syslog-ng-incubator,3.8.1,,
elasticsearch,2.2.2,,
glibc,2.12,Debian,
glibc-common,2.12,Debian,
ipmitool,1.8.11,,
jre,1.8.0_60,,
libgcc,4.4.7,,
libstdc++,4.7.2,,
mongo-php-driver,1.2.12,,
python-dpkt,1.7,,
python-hashlib,20081119,,
python-magic,5.04,,
mongo-php-,1.2.12,,
driver,v3.01,,
python-,20081119,,
hashlib,2.5,,
python-,2.6.1,,
appliance,1.40.1,,
attr,2.4.48,,
augeas-libs,1.12.0,,
boost-program-options,1.66.0,,
bridge-utils,1.6,,
checkpolicy,2.9,,
consul,1.11.4,,
device-mapper-event,1.02.171,,
device-mapper-event-libs,1.02.171,,
dpkt,1.9.5,,
erlang,22.0.7,,
gearman3,0.2.0,,
gearmand,1.1.19.1,,
hexedit,1.2.13,,
hivex,1.3.18,,
libaio,0.3.112,,
libfdt,1.6.0,,
libgearman,1.1.19.1,,
libguestfs,1.44.0,,
libguestfs-tools-c,1.44.0,,
libmemcached,1.0.18,,
libmemcached-libs,1.0.18,,
libpq,12.4,,
lsscsi,0.3,,
lvm2,2.03.09,,
mariadb,10.5.9,,
mariadb-common,10.5.9,,
mariadb-errmsg,10.5.9,,
mariadb-server,10.5.9,,
mariadb-server-utils,10.5.9,,
multipath-tools,0.4.9,,
nbd,2.9.20,,
pixman,0.38.4,,
policycoreutils-python-utils,2.9,,
protobuf-lite,3.5.0,Go,
pyrabbit2,1.0.7,,
python-consul,1.1.0,,
python3-colorclass,2.2.0,,
python3-decorator,4.2.1,,
python3-easygui,0.96,,
python3-inotify,0.9.6,,
python3-libarchive-c,2.8,,
python3-magic,5.33,,
python3-msoffcrypto,4.10.1,,
python3-mysql,1.4.6,,
python3-olefile,0.46,,
python3-oletools,0.56,,
python3-pcodedmp,1.2.6,,
python3-pika,1.0.1,,
python3-policycoreutils,2.9,,
python3-prettytable,0.7.2,,
python3-pymilter,1.0.4,,
python3-redis,3.5.3,,
python3-setproctitle,1.1.10,,
python3-simplejson,3.17.0,,
python3-uwsgidecorators,2.0.18,,
qemu-img,4.2.0,,
qemu-kvm-vnc,4.2.0,,
rabbitmq-server,3.8.9,,
rarfile,4,,
redis-py-cluster,2.1.0,,
tokyocabinet,1.4.48,,
tor,0.4.4.6,,
tunctl,1.5,,
unrar,5.4.0,,
uwsgi,2.0.18,,
uwsgi-plugin-common,2.0.18,,
uwsgi-plugin-python3,2.0.18,,
yara,3.11.0,,
yara-python,4.0.5,,
appliance,1,,
attr,2.4.46,,
boost-program-options,1.53.0,,
bridge-utils,1.5,,
consul,0.7.0,,
docker-ce,17.12.1,,
erlang,18.3,,
fuse-libs,2.7.4,,
gearmand,1.1.8,,
guestfs,1,,
libaio,0.3.109,,
libarchive,3.1.2,,
libgearman,1.1.8,,
lvm2,2.02.130,,
lvm2-sysvinit,2.02.130,,
mongodb,3.4.20,,
ntfs-3g_ntfsprogs,2012.1.15,,
python-backports-lzma,0.0.2,,
python-consul,0.6.1,,
python-decorator,4.0.10,,
python-dpkt,1.8.6,,
python-gearman,2.0.2,,
python-hiredis,0.2.0,,
python-inotify,0.5,,
python-libarchive,0.4.3,,
python-magic,5.11,,
python-mcrypt,1.1,,
python-oletools,0.5,,
python-pika,0.10.0,,
python-prettytable,0.7.2,,
python-pyrabbit,1.1.0,,
python-rarfile,3,,
python-redis,2.10.5,,
python-redis-py-cluster,1.1.0,,
python-setproctitle,1.1.9,,
python-simplejson,3.8.2,,
python-uwsgi,2.0.12,,
qemu-kvm,0.15.1,,
rabbitmq-server,3.6.1,,
tor,0.4.7.13,,
unrar,5.2.2,,
yara,3.8.1,,
yara-python,3.8.1,,
appflower_studio,1.0beta-,,
backports.lzma,0.0.2,,
bluemusic,2.5.14,,
bootstrap-multiselect,20180515,,
cloudinary_js,1.0.4,,
com.sun.tools.visualvm.host,1.0.0,,
com.sun.tools.visualvm.jmx,1.0.0,,
com.sun.tools.visualvm.jvm,2.1.0,,
decorator,4.0.10,,
dicompyler,0.4.2,,
drozer,2.4.4,,
eclipse.equinox.event,1.3.100.,,
erlang,18.2.2,,
erlang-base,18.2-dfsg,,
erlang-erts,18.2.2,,
erlang-kernel,18.2.2,,
erlang-otp_mibs,18.3,,
erlang-stdlib,18.2.2,,
erlang-syntax_tools,18.3,,
famfamfam-silk,1.3,,
gpxe-roms-qemu,0.9.7,,
hiredis,0.2.0,,
is-loading,1.0.1,,
javax.servlet,3.0.0.,,
javax.servlet.jsp,2.2.0.,,
knottie-sammy,0.7.6,,
libaio-dev,0.3.109,,
libntfs-3g-dev,2012.1.15AR.5,,
ms-amqp-transport,9.0.0,,
mythtv-doc,29.0+fixes.,,
nginx,1.0.15,,
ntfs-3g-dev,2012.1.15,,
oletools,0.5,,
openpilot-drive,v0.3.4,,
org.apache.commons.logging,1.1.1.,,
org.apache.jasper.glassfish,2.2.2.,,
org.apache.lucene.core_3.5.0.v20120725-1805.jar,3.5.0.,,
org.eclipse.core.net,1.2.200.,,
org.eclipse.ecf,3.1.300.,,
org.eclipse.ecf.filetransfer,5.0.0.,,
org.eclipse.ecf.provider.filetransfer,3.2.0.,,
org.eclipse.equinox.common,3.6.200.,,
org.eclipse.equinox.ds,1.4.101.,,
org.eclipse.equinox.frameworkadmin,2.0.100.,,
org.eclipse.equinox.frameworkadmin.equinox,1.0.500.,,
org.eclipse.equinox.jsp.jasper,1.0.400.,,
org.eclipse.equinox.launcher,1.3.0.,,
org.eclipse.equinox.p2.artifact.repository,1.1.200.,,
org.eclipse.equinox.p2.core,2.3.0.,,
org.eclipse.equinox.p2.directorywatcher,1.0.300.,,
org.eclipse.equinox.p2.engine,2.3.0.,,
org.eclipse.equinox.p2.garbagecollector,1.0.200.,,
org.eclipse.equinox.p2.jarprocessor,1.0.300.,,
org.eclipse.equinox.p2.metadata.repository,1.2.100.,,
org.eclipse.equinox.p2.publisher.eclipse,1.1.200.,,
org.eclipse.equinox.p2.reconciler.dropins,1.1.200.,,
org.eclipse.equinox.p2.touchpoint.natives,1.1.100.,,
org.eclipse.equinox.p2.transport.ecf,1.1.0.,,
org.eclipse.equinox.p2.updatechecker,1.1.200.,,
org.eclipse.equinox.registry,3.5.400.,,
org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.,,
org.eclipse.equinox.util,1.0.500.,,
org.eclipse.help_3.6.0.v20130326-1254.jar,3.6.0.,,
org.eclipse.osgi,3.10.1.,,
org.openide.modules,1.0.0,,
org.openide.util,1.0.0,,
org.osgi.service.log,1.3.0,Maven,org.osgi
org.sat4j.core,2.3.5.,,
org.sat4j.pb,2.3.5,,
org.w3c.dom.events,3.0.0.,,
org.w3c.dom.smil_1.0.0.v200806040011.jar,1.0.0,,
org.w3c.dom.svg_1.1.0.v201011041433.jar,1.1.0,,
osgi.core,6.0.0,,
otj-pg-embedded,0.11.4,,
php-tcpdf-gnu-free-mono-,6.2.26,,
picard,2.8.2,,
psutil,3.4.1,PyPI,
pyrabbit,1.1.0,,
py-rarfile,3,,
py-setproctitle,1.1.9,,
python-dpkt,1.8.r98,,
python-oletools,0.51,,
python-pefile,1.2.10.139,,
qemu-kvm,0.12.1.2,,
requests,2.12.4,PyPI,
rh-redis32-redis,3.2.4,,
runtime,3.10.0.,,
sammyjs,0.7.6,,
org.eclipse.core.commands,v20150422-0725,,
org.eclipse.jface.text,v20150603-1752,,
org.eclipse.ui.views,v20150422-0725,,
org.eclipse.ui.workbench,v20150510-1732,,
seabios,1.7.0,,
sgabios,0,,
stomp-websocket,2.3.4,,
testing-postgresql-server,0.4,,
org.eclipse.osgi.compatibility.state,v20150402-1551,,
vgabios,0.6b,,
vrl,0.4.3.1.0,,
attr,2.4.32,,
boost-program-options,1.41.0,,
consul,0.6.4,,
erlang,18.2,,
java-wf,1,,
jdk-wf,7.0.25,,
libaio,0.3.107,,
nbd,2.9.0,,
php-common,5.3.17,,
python-consul,0.6.0,,
python-decorator,4.1.10,,
python-redis,7.43.0,,
python-requests,2.8.0,PyPI,
redis,3.0.7,,
tor,0.2.3.25,,
appengine,1.6.7,,
async-fp,8.1.1,,
atomic,1.10.0,,
atomic,1.7.0,,
atomic,1.9.0,,
bzip2,1.0.8,,
c-ares,1.27.0,,
collector,0.28.0,,
compare-versions,4.1.3,,
contrib,0.23.0,,
cross-fetch,3.1.6,,
date-fns,2.29.3,,
dirname-filename-esm,1.1.1,,
fmt,10.2.1,,
genproto,0.0.0,,
go.opencensus.io,0.23.0,,
grpc,1.47.0,Go,
grpc,1.48.0,Go,
grpc,1.49.0,Go,
grpc,1.50.1,Go,
grpc,1.51.0,Go,
grpc,1.53.0,Go,
grpc,1.57.0,Go,
history,5.3.0,,
http-status,1.6.2,,
iso-error,6.0.3,,
iso-error-google-cloud-api,5.2.4,,
iso-error-web,2.3.4,,
js-base64,3.7.3,,
libarchive,3.6.1,,
mongo-driver,1.11.0,,
mongo-driver,1.11.1,,
mongo-driver,1.11.3,,
mongo-driver,1.11.6,,
multierr,1.6.0,,
multierr,1.8.0,,
multierr,1.9.0,,
nlohmann,3.11.3,,
otel,1.10.0,,
otel,1.11.1,,
otel,1.13.0,,
protobuf,1.28.0,Go,
protobuf,1.28.1,Go,
protobuf,1.30.0,Go,
protobuf,3.21.12,Go,
pugixml,1.14,,
react,16.14.0,npm,
react-error-boundary,3.1.4,npm,
react-hook-form,7.43.9,npm,
react-intl,5.25.1,npm,
react-router-dom,5.1.2,npm,
react-table,7.7.0,npm,
react-use-measure,2.1.1,npm,
react-use-websocket,3.0.0,npm,
redis,8.11.5,,
sdk,1.15.0,,
snappy,0.0.4,,
spdlog,1.13.0,,
standard-log-color,12.1.2,crates.io,
strip-ansi,7.1.0,,
tailwindcss,3.2.4,npm,
tersify,3.11.1,,
type-plus,7.6.0,,
uni-require,0.0.1,,
uuid,8.3.2,crates.io,
wil,1.0.240122.1,,
xterm-for-react,1.0.4,npm,
yaml,2.4.0,,
zap,1.23.0,Go,
zap,1.24.0,Go,
zlib,1.3.1,Debian,
zod,3.22.2,,
abab,2.0.6,,
abbrev,1.1.1,,
acorn-globals,7.0.1,,
acorn-walk,8.2.0,,
agent-base,6.0.2,,
ajv,6.12.6,,
ansi-regex,5.0.1,crates.io,
ansi-regex,6.0.1,crates.io,
ansi-styles,3.2.1,,
ansi-styles,5.2.0,,
ansi-styles,6.2.1,,
ansi-styles,4.3.0,,
any-promise,1.3.0,,
anymatch,3.1.3,,
array-buffer-byte-length,1.0.0,,
array-union,2.1.0,,
arraybuffer.prototype.slice,1.0.1,,
assertion-error,1.1.0,,
asynckit,0.4.0,,
available-typed-arrays,1.0.5,,
axios,1.4.0,npm,
balanced-match,1.0.2,,
benbjohnson-clock,1.3.0,,
binary-extensions,2.2.0,,
bluemonday,1.0.21,,
boolbase,1.0.0,,
brace-expansion,1.1.11,,
brace-expansion,2.0.1,,
cac,6.7.14,,
call-bind,1.0.2,,
callsites,3.1.0,,
camelcase-css,2.0.1,,
caniuse-lite,1.0.30001521,,
cc,118.0.5993.70,,
check-error,1.0.2,,
chokidar,3.5.3,,
chrome,v118.0.5993.70,,
cli-truncate,3.1.0,,
color-name,1.1.3,,
color-name,1.1.4,,
combined-stream,1.0.8,,
components,v118.0.5993.70,,
config-chain,1.1.13,,
content,v118.0.5993.70,,
core-js,3.32.0,,
crypto,0.4.0,,
cssesc,3.0.0,,
cssom,0.3.8,,
cssom,0.5.0,,
cssstyle,2.3.0,,
csstype,3.1.2,,
data-urls,3.0.2,,
de-indent,1.0.2,,
decimal.js,10.4.3,,
deep-eql,4.1.3,,
deep-is,0.1.4,,
define-properties,1.2.0,,
delayed-stream,1.0.0,,
deploy,v118.0.5993.70,,
didyoumean.js,1.2.2,,
dir-glob,3.0.1,,
dlv,1.1.3,,
docker,20.10.12,,
docker-go-units,0.4.0,,
docker-registry,2.8.0,,
doctrine,3.0.0,,
domexception,4.0.0,,
eastasianwidth,0.2.0,,
electron-to-chromium,1.4.492,,
emoji-regex,9.2.2,crates.io,
es-abstract,1.22.1,,
es-set-tostringtag,2.0.1,,
es-to-primitive,1.2.1,,
esbuild,0.18.20,,
escalade,3.1.1,,
escape-string-regexp,1.0.5,,
escape-string-regexp,4.0.0,,
escodegen,2.1.0,,
eslint-eslintrc,2.1.2,npm,
eslint-js,8.47.0,npm,
eslint-config-prettier,8.10.0,npm,
eslint-plugin-prettier,4.2.1,npm,
eslint-plugin-vue,9.17.0,npm,
eslint-scope,7.2.2,npm,
eslint-scope,5.1.1,npm,
eslint-utils,2.1.0,npm,
eslint-visitor-keys,1.3.0,npm,
eslint-visitor-keys,3.4.3,npm,
espree,9.6.1,,
espree,6.2.1,,
esquery,1.5.0,,
esrecurse,4.3.0,,
estraverse,5.3.0,,
estraverse,4.3.0,,
estree-walker,2.0.2,,
esutils,2.0.3,,
extensions,v118.0.5993.70,,
fast-deep-equal,3.1.3,,
fast-diff,1.3.0,,
fast-glob,3.3.1,,
fast-json-stable-stringify,2.1.0,,
fast-levenshtein,2.0.6,,
fastq,1.15.0,,
file-entry-cache,6.0.1,,
fill-range,7.0.1,,
find-up,5.0.0,,
flat-cache,3.0.4,,
flatted,3.2.7,,
follow-redirects,1.15.2,,
form-data,4.0.0,,
fraction.js,4.2.0,,
fs.realpath,1.0.0,,
fsevents,2.3.2,,
fsnotify-fsnotify,1.5.1,,
function-bind,1.1.1,,
function.prototype.name,1.1.5,,
functions-have-names,1.2.3,,
get-func-name,2.0.0,,
get-intrinsic,1.2.1,,
get-symbol-description,1.0.0,,
glob-parent,5.1.2,,
glob-parent,6.0.2,,
globalthis,1.0.3,,
go-jwx,2.0.8,,
go-ole-go-ole,1.2.6,,
go-playground-universal-,0.18.0,,
go-simplejson,0.5.0,,
go-spew,1.1.1,,
go-toml,2.0.6,,
go-zap,1.24.0,Go,
go.uuid,1.2.0,crates.io,
golang-github-docker-go-,0.4.0,,
goleak,1.1.12,,
gopd,1.0.1,,
gotest.tools,3.0.3,,
graphemer,1.4.0,,
grpc-go,1.50.1,Go,
has,1.0.3,,
has-bigints,1.0.2,,
has-flag,3.0.0,,
has-flag,4.0.0,,
has-property-descriptors,1.0.0,,
has-proto,1.0.1,,
has-symbols,1.0.3,,
has-tostringtag,1.0.0,,
hosted-git-info,2.8.9,,
html-encoding-sniffer,3.0.0,,
https-proxy-agent,5.0.1,,
iconv-lite,0.6.3,,
immutable-js,4.3.2,,
import-fresh,3.3.0,,
imurmurhash,0.1.4,,
inflight,1.0.6,,
inherits,2.0.4,,
internal-slot,1.0.5,,
is-array-buffer,3.0.2,,
is-arrayish,0.2.1,,
is-bigint,1.0.4,,
is-binary-path,2.1.0,,
is-boolean-object,1.1.2,,
is-callable,1.2.7,,
is-core-module,2.13.0,,
is-date-object,1.0.5,,
is-extglob,2.1.1,,
is-fullwidth-code-point,4.0.0,,
is-glob,4.0.3,,
is-negative-zero,2.0.2,,
is-number,7.0.0,,
is-number-object,1.0.7,,
is-path-inside,3.0.3,,
is-potential-custom-element-,1.0.1,,
is-regex,1.1.4,crates.io,
is-shared-array-buffer,1.0.2,,
is-string,1.0.7,,
is-symbol,1.0.4,,
is-typed-array,1.1.12,,
is-weakref,1.0.2,,
isarray,2.0.5,,
isexe,2.0.0,,
jiti,1.19.1,,
js-beautify,1.14.9,,
js-yaml,4.1.0,,
jsdiff,5.1.0,,
jsdom,20.0.3,,
json-parse-better-errors,1.0.2,,
json-schema-traverse,0.4.1,,
json5,2.2.3,,
jsonc-eslint-parser,1.4.1,npm,
jsonc-parser,3.2.0,,
jsoniter-go,1.1.12,,
levn,0.4.1,,
lilconfig,2.1.0,,
lines-and-columns,1.2.4,,
load-json-file,4.0.0,,
local-pkg,0.4.3,,
locate-path,6.0.0,,
lodash.merge,4.6.2,npm,
loupe,2.3.6,,
magic-string,0.30.2,,
martian,3.2.1,,
mattn-go-isatty,0.0.16,,
media,v118.0.5993.70,,
memorystream-mcavage,0.3.1,,
merge2,1.4.1,,
mergo,0.3.13,,
micromatch,4.0.5,,
mime-db,1.52.0,,
minimatch,3.1.2,,
minimatch,5.1.6,,
minimatch,9.0.1,,
minimatch,9.0.3,,
mlly,1.4.0,,
mod,0.7.0,,
ms.js,2.1.2,,
muggle-string,0.3.1,,
mz,2.7.0,,
nanoid,3.3.6,,
natural-compare,1.4.0,,
natural-compare-lite,1.4.0,,
net,v118.0.5993.70,,
net,0.4.0,,
nice-try,1.0.5,,
node-concat-map,0.0.1,,
node-cross-spawn,6.0.5,,
node-cross-spawn,7.0.3,,
node-entities,4.5.0,,
node-error-ex,1.3.2,,
node-glob,7.2.3,,
node-glob,8.1.0,,
node-glob,7.1.6,,
node-graceful-fs,4.2.11,,
node-http-proxy-agent,5.0.0,,
node-ignore,5.2.4,,
node-lru-cache,6.0.0,,
node-releases,2.0.13,,
node-semver,5.7.2,,
node-semver,6.3.1,,
node-semver,7.5.4,,
node-shell-quote,1.8.1,,
node-uuid,9.0.0,,
nodeca-argparse,2.0.1,,
nodelib-fs.scandir,2.1.5,,
nodelib-fs.stat,2.0.5,,
nodelib-fs.walk,1.2.8,,
nopt,6.0.0,,
normalize-package-data,2.5.0,,
normalize-path,3.0.0,,
normalize-range,0.1.2,,
npm-run-all,4.1.5,,
nth-check,2.1.1,,
nwsapi,2.2.7,,
object-assign,4.1.1,,
object-hash,3.0.0,,
object-inspect,1.12.3,,
object-keys,1.1.1,,
optionator,0.9.3,,
p-limit,3.1.0,,
p-limit,4.0.0,,
p-locate,5.0.0,,
