name,version,ecosystem,vendor
libsaml12,3.2.0,,
libseccomp,2.4.3,,
libsecret,0.18.6,,
libselinux,2.9,,
libselinux-utils,2.9,,
libsemanage,2.9,,
libsepol,2.9,,
libsigsegv,2.11,,
libsmartcols,2.32.1,,
libsmbclient,4.14.5,,
libss,1.45.6,,
libstdc++,7.3.0,,
libstdc++,8.3.1,,
libsysfs,2.1.0,,
libtalloc,2.3.2,,
libtasn1,4.13,,
libtdb,1.4.3,,
libtecla,1.6.1,,
libtevent,0.10.2,,
libtiff,4.0.9,,
libtirpc,1.1.4,,
libtool-ltdl,2.4.6,,
libunistring,0.9.9,,
libunwind,1.3.1,,
libusbx,1.0.23,,
libuser,0.62,,
libuuid,2.32.1,,
libverto,0.3.0,,
libvolume_id,127,,
libwbclient,4.14.5,,
libwsman1,2.6.5,,
libxcrypt,4.1.1,,
libxerces-c-3_2,3.2.3,,
libxml-security-c20,2.0.2,,
libxml2,2.9.7,Debian,
libxmltooling10,3.2.0,,
libxslt,1.1.32,,
libyaml,0.1.7,,
libyang,2.1.128,,
libzip,1.6.1,,
libzstd,1.4.4,,
linux-firmware,20200619,,
lm_sensors,3.4.0,,
lm_sensors-libs,3.4.0,,
lmdb-libs,0.9.24,,
lockdev,1.0.4,,
logrotate,3.14.0,,
lrzsz,0.12.20,,
lsof,4.93.2,,
lua,5.3.4,,
lua-libs,5.3.4,,
lz4,1.8.3,,
lz4-libs,1.8.3,,
lzo,2.08,,
mailx,12.5,,
mariadb-connector-c,3.1.11,,
mariadb-connector-c-config,3.1.11,,
mcelog,194,,
mdadm,4.1,,
mingetty,1.07,,
minicom,2.7.1,,
mlnx-ofa_kernel-modules,4.9,,
mmc-utils,1,,
modules-intel-mp,11.2.5.1,,
modules-intel-mp-vm,11.2.5.1,,
mongo,1,,
mongo-c-driver-libs,1.17.6,,
mongodb,3.6.19,,
mpfr,3.1.6,,
ms2frr,11.0.828,,
mtdutils,1.0.0,,
ncurses,6.1,,
ncurses-base,6.1,,
ncurses-libs,6.1,,
ncurses-term,6.1,,
net-snmp,5.8,,
net-snmp-agent-libs,5.8,,
net-snmp-libs,5.8,,
net-snmp-utils,5.8,,
net-tools,2,,
nettle,3.4.1,,
nfs-utils,2.3.3,,
nginx-bin,1.20.1,,
nginx-filesystem,1.20.1,,
npth,1.5,,
nspr,4.35.0,,
nss,3.90.0,,
nss-pam-ldapd,0.9.9,,
nss-softokn,3.90.0,,
nss-softokn-freebl,3.90.0,,
nss-sysinit,3.90.0,,
nss-tools,3.90.0,,
nss-util,3.90.0,,
ntfs-3g,2017.3.23,,
ntfsprogs,2017.3.23,,
ntp,4.2.8p15,,
ntp-dp,4.2.8p15,,
ntpdate,4.2.8p15,,
ntpstat,0.5,,
numactl-libs,2.0.12,,
oniguruma5php,6.9.7.1,,
onnxruntime,1.15.1,,
open-vm-tools,12.1.0,,
openjpeg2,2.4.0,,
openldap,2.4.46,,
openldap-clients,2.4.46,,
opensaml-schemas,3.2.0,,
openssh,8.0p1,,
openssh-clients,8.0p1,,
openssh-server,8.0p1,,
openssl,1.1.1g,Debian,
openssl-dp,1.1.1g,Debian,
openssl-dp-libs,1.1.1g,Debian,
openssl-dpt13,1.1.1a,Debian,
openssl-libs,1.1.1g,Debian,
openwsman-client,2.6.5,,
openwsman-server,2.6.5,,
oprofile,0.9.9,,
p11-kit,0.23.22,,
p11-kit-trust,0.23.22,,
pam,1.3.1,,
pam_krb5,2.4.8,,
